#Pos	Mean	SD
7040	599150.00	553507.52
7050	599162.50	553493.67
7060	599187.50	553465.96
7070	599212.50	553438.26
7080	599225.00	553424.41
7090	599250.00	553396.72
7100	599275.00	553369.04
7110	599312.50	553327.53
7120	599350.00	553286.04
7130	599387.50	553244.56
7140	599437.50	553189.29
7150	599487.50	553134.05
7160	599550.00	553065.04
7170	599637.50	552968.50
7180	599712.50	552885.84
7190	599800.00	552789.48
7200	599962.50	552610.77
7210	600200.00	552350.18
7220	600800.00	551694.93
7230	663250.00	510460.79
7240	678000.00	509249.87
7250	679250.00	509304.22
7260	718875.00	523548.45
7290	720125.00	524381.39
7460	721375.00	525236.80
13200	721500.00	525068.70
13500	721625.00	524900.79
13800	721750.00	524733.06
13900	721875.00	524565.52
14100	722125.00	524230.98
14200	830250.00	465635.89
14300	830875.00	465859.71
14400	831262.50	465973.55
14500	831512.50	466066.50
14600	831762.50	466160.51
14700	832012.50	466255.57
14800	832137.50	466303.50
14900	832387.50	466400.14
15000	832650.00	466474.20
15100	833025.00	466622.70
15200	833275.00	466723.02
15300	833537.50	466800.75
15500	849800.00	475579.44
15600	851062.50	476409.82
15700	852312.50	477288.54
15800	852325.00	477264.87
16000	852337.50	477241.21
16100	852350.00	477217.54
16200	852375.00	477170.21
16300	852387.50	477146.55
16400	852412.50	477099.23
16500	852437.50	477051.92
16600	852450.00	477028.26
16700	852462.50	477004.61
16800	852487.50	476957.31
16900	852500.00	476933.66
17000	852525.00	476886.36
17100	852562.50	476815.44
17200	852600.00	476744.52
17300	852650.00	476649.99
17400	852712.50	476531.85
17500	852787.50	476390.14
17600	852912.50	476154.06
17700	853087.50	475823.80
17800	969375.00	354731.66
17900	970875.00	354895.33
18600	972125.00	355070.39
18800	972250.00	354735.21
19500	972375.00	354400.07
19800	972500.00	354064.97
19900	972625.00	353729.90
20000	972750.00	353394.86
20100	972875.00	353059.86
20200	973500.00	351385.42
20300	1127250.00	152258.94
20400	1128500.00	154652.61
20800	1129750.00	157089.37
974000	1013625.00	356626.23
975000	1013375.00	357261.38
976000	1013250.00	357579.06
977000	1013125.00	357896.81
978000	1013000.00	358214.62
979000	1012875.00	358532.50
980000	1012750.00	358850.45
981000	1012625.00	359168.46
982000	1012500.00	359486.54
984000	1012375.00	359804.68
985000	1012250.00	360122.90
987000	1012125.00	360441.17
988000	1012000.00	360759.52
990000	1011875.00	361077.92
991000	1011750.00	361396.40
992000	1011625.00	361714.94
993000	1011500.00	362033.54
994000	1011375.00	362352.21
995000	1011250.00	362670.94
996000	1011000.00	363308.61
997000	1010500.00	364584.70
998000	1007500.00	372262.20
999000	1007125.00	373224.34
1000000	1006875.00	373866.07
1010000	1006625.00	374508.03
1020000	1006500.00	374829.10
1200000	859500.00	425620.56
1210000	858625.00	427118.23
1220000	858250.00	427762.87
1230000	858125.00	427978.12
1330000	858000.00	428193.55
2780000	858000.00	428193.55
